"","sig_id","cell_iname","conditionId"
"277","CPC007_HT29_24H:BRD-A43126523-001-06-4:10","HT29","BRD-A43126523_10 uM_24 h"
"278","CPC019_A375_6H:BRD-K35424586-001-02-4:10","A375","SA-247714_10 uM_6 h"
"279","CPC012_A375_6H:C14","A375","BRD-K10010115_10 uM_6 h"
"280","CPC006_HT29_24H:BRD-K17349619-003-01-4:10","HT29","HLI-373_10 uM_24 h"
"281","CPC006_HT29_6H:F16","HT29","BRD-K68336408_60 uM_6 h"
"282","CPC015_HT29_6H:BRD-A34806832-001-02-7:10","HT29","proscillaridin_10 uM_6 h"
"283","CPC019_A375_6H:BRD-K06405410-001-01-2:10","A375","BRD-K06405410_10 uM_6 h"
"284","CPC006_A375_24H:BRD-K59184148-001-04-2:10","A375","SB-216763_10 uM_24 h"
"285","CPC006_HT29_24H:BRD-K69932463-001-03-1:10","HT29","AZD-8055_10 uM_24 h"
"286","CPC020_HT29_6H:BRD-K93034159-001-14-2:10","HT29","cladribine_10 uM_6 h"
"287","CPC016_A375_6H:BRD-K89930444-001-01-9:10","A375","AG-592_10 uM_6 h"
"288","CPC006_A375_24H:BRD-K08316444-001-04-3:0.63","A375","rotenone_0.66 uM_24 h"
"289","CPC014_HT29_6H:BRD-K05396879-001-05-9:10","HT29","BRD-K05396879_10 uM_6 h"
"290","CPC014_HT29_6H:BRD-U43867373-000-01-3:10","HT29","BRD-U43867373_10 uM_6 h"
"291","CPC019_A375_6H:BRD-K74486276-001-01-2:10","A375","BRD-K74486276_10 uM_6 h"
"292","CPC006_A375_24H:BRD-K83289131-001-01-4:10","A375","CAY-10618_10 uM_24 h"
"293","CPC006_HT29_24H:BRD-K89687904-001-01-8:10","HT29","PKCbeta-inhibitor_10 uM_24 h"
"294","CPC016_A375_6H:BRD-A49680073-001-01-9:10","A375","BRD-A49680073_10 uM_6 h"
"295","CPC008_HT29_6H:BRD-K68833544-001-01-9:10","HT29","BRD-K68833544_10 uM_6 h"
"296","CPC016_HT29_6H:BRD-K79425933-001-03-6:10","HT29","benperidol_10 uM_6 h"
"297","CPC020_A375_6H:BRD-K34098590-001-01-3:10","A375","tienilic-acid_10 uM_6 h"
"298","CPC012_HT29_6H:BRD-K51941867-001-01-8:10","HT29","LM-1685_10 uM_6 h"
"299","CPC014_HT29_6H:BRD-M64432851-001-01-9:10","HT29","sunitinib_10 uM_6 h"
"300","CPC016_HT29_6H:BRD-K88677950-001-01-3:10","HT29","PD-198306_10 uM_6 h"
"301","CPC017_HT29_6H:BRD-K59469039-001-03-1:10","HT29","AG-879_10 uM_6 h"
"302","CPC018_HT29_6H:BRD-K14767410-001-01-5:10","HT29","SC-560_10 uM_6 h"
"303","CPC020_A375_6H:BRD-K50234570-001-09-0:10","A375","EMF-bca1-16_10 uM_6 h"
"304","CPC014_HT29_6H:BRD-K32710582-001-01-5:10","HT29","EI-247_10 uM_6 h"
"305","CPC014_HT29_6H:BRD-K50140147-001-01-0:10","HT29","NVP-TAE684_10 uM_6 h"
"306","CPC015_A375_6H:BRD-K68143200-001-04-2:10","A375","NSC-95397_10 uM_6 h"
"307","CPC005_A375_24H:BRD-K27305650-003-01-4:10","A375","LY-294002_10 uM_24 h"
"308","CPC006_HT29_6H:J07","HT29","NSC-632839_10 uM_6 h"
"309","CPC018_HT29_6H:BRD-K37392901-003-01-7:10","HT29","NSC-632839_10 uM_6 h"
"310","CPC006_A375_6H:J23","A375","tozasertib_10 uM_6 h"
"311","CPC006_A375_6H:N03","A375","chaetocin_0.08 uM_6 h"
"312","CPC006_A375_24H:BRD-A62182663-001-01-4:10","A375","YK-4279_10 uM_24 h"
"313","CPC013_A375_6H:BRD-K69852452-001-01-8:10","A375","F-1566-0341_10 uM_6 h"
"314","CPC005_A375_24H:BRD-K69023402-001-02-5:10","A375","thapsigargin_10 uM_24 h"
"315","CPC007_HT29_6H:BRD-K95352812-019-02-2:10","HT29","BRD-K95352812_10 uM_6 h"
"316","CPC006_HT29_6H:E02","HT29","dorsomorphin_10 uM_6 h"
"317","CPC006_A375_6H:C04","A375","AZD-8055_10 uM_6 h"
"318","CPC004_HT29_6H:BRD-K62792802-001-02-8:10","HT29","LY-83583_10 uM_6 h"
"319","CPC004_HT29_6H:BRD-A72703248-003-01-5:10","HT29","SKF-96365_10 uM_6 h"
"320","CPC008_HT29_6H:BRD-K38061943-019-01-3:10","HT29","BRD-K38061943_10 uM_6 h"
"321","CPC018_HT29_6H:BRD-A62890442-001-01-0:10","HT29","3-methyl-GABA_10 uM_6 h"
"322","CPC006_A375_24H:BRD-A19633847-050-20-6:10","A375","perhexiline_10 uM_24 h"
"323","CPC013_A375_6H:BRD-U37049823-000-01-2:10","A375","HG-6-64-01_10 uM_6 h"
"324","CPC005_HT29_24H:BRD-A77299732-001-01-6:10","HT29","salubrinal_10 uM_24 h"
"325","CPC007_A375_24H:BRD-A43126523-001-06-4:10","A375","BRD-A43126523_10 uM_24 h"
"326","CPC006_A375_24H:BRD-A41451487-001-06-2:160","A375","PK-11195_150 uM_24 h"
"327","CPC013_HT29_6H:N04","HT29","BRD-K80786583_10 uM_6 h"
"328","CPC018_HT29_6H:BRD-A40431293-001-01-0:10","HT29","BRD-A40431293_10 uM_6 h"
"329","CPC004_A375_6H:BRD-K62792802-001-02-8:10","A375","LY-83583_10 uM_6 h"
"330","CPC020_HT29_6H:BRD-A51182606-001-07-4:10","HT29","BRD-A51182606_10 uM_6 h"
"331","CPC006_HT29_6H:C06","HT29","AS-605240_10 uM_6 h"
"332","CPC018_A375_6H:BRD-K84595254-001-03-0:10","A375","strophanthidin_10 uM_6 h"
"333","CPC018_A375_6H:BRD-K97399794-001-10-4:10","A375","quercetin_10 uM_6 h"
"334","CPC008_A375_6H:B05","A375","BRD-K23165181_10 uM_6 h"
"335","CPC009_HT29_6H:BRD-K55070890-001-02-1:10","HT29","thiothixene_10 uM_6 h"
"336","CPC005_A375_24H:BRD-K80451230-051-01-8:10","A375","zamifenacin_10 uM_24 h"
"337","CPC006_HT29_24H:BRD-A18763547-300-04-8:10","HT29","BRD-A18763547_10 uM_24 h"
"338","CPC006_HT29_6H:C02","HT29","SB-216763_10 uM_6 h"
"339","CPC006_HT29_6H:J24","HT29","pyrvinium-pamoate_10 uM_6 h"
"340","CPC008_HT29_6H:BRD-K73044744-001-03-0:10","HT29","KU-C104495_10 uM_6 h"
"341","CPC016_HT29_6H:BRD-K97365803-001-01-3:10","HT29","PI-828_10 uM_6 h"
"342","CPC018_A375_6H:BRD-A28970875-300-03-1:10","A375","puromycin_10 uM_6 h"
"343","CPC014_HT29_6H:BRD-K23192422-001-01-1:10","HT29","lestaurtinib_10 uM_6 h"
"344","CPC004_A375_6H:BRD-K67100011-003-03-0:10","A375","pivmecillinam_10 uM_6 h"
"345","CPC009_HT29_6H:BRD-K82732294-001-05-8:10","HT29","BRD-K82732294_10 uM_6 h"
"346","CPC015_A375_6H:BRD-K15409150-001-01-7:10","A375","penfluridol_10 uM_6 h"
"347","CPC006_HT29_6H:L23","HT29","SN-38_0.37 uM_6 h"
"348","CPC008_HT29_6H:BRD-A31946439-019-01-5:10","HT29","BRD-A31946439_10 uM_6 h"
"349","CPC005_HT29_6H:BRD-A65767837-001-03-6:10","HT29","hydrocortisone-acetate_10 uM_6 h"
"350","CPC008_A375_6H:H02","A375","BRD-K07259155_10 uM_6 h"
"351","CPC011_A375_6H:BRD-K60770992-066-21-9:10","A375","pergolide_10 uM_6 h"
"352","CPC019_A375_6H:BRD-A94377914-001-02-7:10","A375","merck-ketone_10 uM_6 h"
"353","CPC006_HT29_6H:G09","HT29","TG-101348_12 uM_6 h"
"354","CPC018_A375_6H:BRD-K06753942-001-06-1:10","A375","nobiletin_10 uM_6 h"
"355","CPC004_A375_6H:BRD-K13544237-001-01-0:10","A375","BRD-K13544237_10 uM_6 h"
"356","CPC016_A375_6H:BRD-A35588707-001-03-0:10","A375","teniposide_10 uM_6 h"
"357","CPC006_HT29_24H:BRD-K68185022-001-06-4:70.07","HT29","ursolic-acid_70 uM_24 h"
"358","CPC018_HT29_6H:BRD-K80431395-001-02-4:10","HT29","triciribine_10 uM_6 h"
"359","CPC019_HT29_6H:BRD-K74486276-001-01-2:10","HT29","BRD-K74486276_10 uM_6 h"
"360","CPC018_A375_6H:BRD-K59256312-066-04-1:10","A375","gabexate_10 uM_6 h"
"361","CPC013_A375_6H:BRD-K11636097-001-01-5:10","A375","JNJ-7706621_10 uM_6 h"
"362","CPC008_HT29_6H:BRD-K35413818-019-01-1:10","HT29","BRD-K35413818_10 uM_6 h"
"363","CPC017_A375_6H:BRD-K11696279-003-01-5:10","A375","BU-239_10 uM_6 h"
"364","CPC019_A375_6H:BRD-K34363599-001-02-0:10","A375","RJC-00245SC_10 uM_6 h"
"365","CPC016_A375_6H:BRD-K70281171-103-01-1:10","A375","U-99194_10 uM_6 h"
"366","CPC018_HT29_6H:BRD-M41783010-238-01-9:10","HT29","acamprosate_10 uM_6 h"
"367","CPC014_HT29_6H:BRD-A11007541-003-01-9:10","HT29","BCI-hydrochloride_10 uM_6 h"
"368","CPC014_HT29_6H:BRD-U04166717-000-01-2:10","HT29","BRD-U04166717_10 uM_6 h"
"369","CPC005_A375_6H:BRD-K84895041-001-01-6:10","A375","BMY-45778_10 uM_6 h"
"370","CPC005_A375_24H:BRD-K32828673-002-03-9:10","A375","chelidonine_10 uM_24 h"
"371","CPC019_A375_6H:BRD-K20112532-001-05-0:10","A375","BRD-K20112532_10 uM_6 h"
"372","CPC020_A375_6H:BRD-K71199328-001-01-2:10","A375","YL-55_10 uM_6 h"
"373","CPC006_A375_6H:G15","A375","BRD-K26664453_10 uM_6 h"
"374","CPC005_A375_6H:BRD-A52660433-066-01-3:10","A375","tetrindole_10 uM_6 h"
"375","CPC019_A375_6H:BRD-K17953061-001-05-1:10","A375","staurosporine_10 uM_6 h"
"376","CPC012_A375_6H:O24","A375","GP-42_10 uM_6 h"
"377","CPC017_HT29_6H:BRD-K11911061-003-02-8:10","HT29","GR-127935_10 uM_6 h"
"378","CPC019_HT29_6H:BRD-K50177987-001-01-5:10","HT29","BRD-K50177987_10 uM_6 h"
"379","CPC008_A375_6H:C11","A375","BRD-K32636001_10 uM_6 h"
"380","CPC012_A375_6H:J08","A375","BRD-K81795824_10 uM_6 h"
"381","CPC012_A375_6H:O22","A375","SA-1447005_10 uM_6 h"
"382","CPC017_HT29_6H:BRD-K86958018-001-01-9:10","HT29","olvanil_10 uM_6 h"
"383","CPC018_A375_6H:BRD-K41567364-001-01-2:10","A375","SB-334867_10 uM_6 h"
"384","CPC004_A375_6H:BRD-K03109492-001-01-4:10","A375","NSC-663284_10 uM_6 h"
"385","CPC005_A375_6H:BRD-K18518344-001-03-5:10","A375","digitoxigenin_10 uM_6 h"
"386","CPC010_A375_6H:A07","A375","BRD-K06765193_10 uM_6 h"
"387","CPC016_HT29_6H:BRD-K91370081-001-10-3:10","HT29","anisomycin_10 uM_6 h"
"388","CPC008_HT29_6H:BRD-K69097969-001-03-2:10","HT29","VU-0418939-2_10 uM_6 h"
"389","CPC019_HT29_6H:BRD-K40566034-001-01-5:10","HT29","BRD-K40566034_10 uM_6 h"
"390","CPC006_A375_24H:BRD-K01976263-003-04-5:0.63","A375","emetine_0.66 uM_24 h"
"391","CPC011_A375_6H:BRD-A30977374-001-13-1:10","A375","nifedipine_10 uM_6 h"
"392","CPC008_HT29_6H:BRD-K70917163-001-04-0:10","HT29","BRD-K70917163_10 uM_6 h"
"393","CPC019_A375_6H:BRD-K03814443-001-01-9:10","A375","SA-423131_10 uM_6 h"
"394","CPC019_A375_6H:BRD-K49010888-001-01-2:10","A375","BRD-K49010888_10 uM_6 h"
"395","CPC006_HT29_6H:G21","HT29","mepacrine_10 uM_6 h"
"396","CPC016_HT29_6H:BRD-K35708212-331-03-1:10","HT29","ouabain_10 uM_6 h"
"397","CPC014_HT29_6H:BRD-K75081836-001-01-3:10","HT29","BRD-K75081836_10 uM_6 h"
"398","CPC005_HT29_24H:BRD-A49225603-045-05-0:10","HT29","alimemazine_10 uM_24 h"
"399","CPC006_HT29_24H:BRD-K67566344-001-01-8:10","HT29","KU-0063794_10 uM_24 h"
"400","CPC006_HT29_24H:BRD-K11853856-003-01-3:10","HT29","PJ-34_10 uM_24 h"
"401","CPC006_HT29_24H:BRD-K10705233-003-02-8:40","HT29","GW-405833_40 uM_24 h"
"402","CPC008_HT29_6H:BRD-A03436432-001-04-0:10","HT29","BRD-A03436432_10 uM_6 h"
"403","CPC013_HT29_6H:C01","HT29","ON-01910_10 uM_6 h"
"404","CPC015_A375_6H:BRD-K53987533-003-01-9:10","A375","fluphenazine_10 uM_6 h"
"405","CPC017_A375_6H:BRD-K40919711-001-02-4:10","A375","BAPTA-AM_10 uM_6 h"
"406","CPC012_A375_6H:K12","A375","fludarabine_10 uM_6 h"
"407","CPC018_HT29_6H:BRD-K46556543-237-03-0:10","HT29","potassium-canrenoate_10 uM_6 h"
"408","CPC018_HT29_6H:BRD-A28970875-300-03-1:10","HT29","puromycin_10 uM_6 h"
"409","CPC015_A375_6H:BRD-A34806832-001-02-7:10","A375","proscillaridin_10 uM_6 h"
"410","CPC015_A375_6H:BRD-A10715913-001-03-8:10","A375","sulpiride_10 uM_6 h"
"411","CPC007_HT29_24H:BRD-K23673040-001-12-9:10","HT29","BRD-K23673040_10 uM_24 h"
"412","CPC010_HT29_6H:BRD-K99633092-001-02-0:10","HT29","BRD-K99633092_10 uM_6 h"
"413","CPC019_A375_6H:BRD-K83816656-001-01-9:10","A375","BRD-K83816656_10 uM_6 h"
"414","CPC020_A375_6H:BRD-K62300190-003-05-9:10","A375","BRD-K62300190_10 uM_6 h"
"415","CPC006_HT29_24H:BRD-A62809825-001-01-7:10","HT29","thapsigargin_10 uM_24 h"
"416","CPC010_HT29_6H:BRD-K00256256-001-03-8:10","HT29","AMZ-30_10 uM_6 h"
"417","CPC008_HT29_6H:BRD-K64822626-001-03-3:10","HT29","KU-C104135_10 uM_6 h"
"418","CPC012_A375_6H:C18","A375","MD-041_10 uM_6 h"
"419","CPC012_HT29_6H:BRD-K36031023-001-01-9:10","HT29","BRD-K36031023_10 uM_6 h"
"420","CPC006_A375_24H:BRD-K15563106-001-08-1:177.6","A375","phloretin_200 uM_24 h"
"421","CPC004_A375_6H:BRD-K45296539-003-01-0:10","A375","ZD-7114_10 uM_6 h"
"422","CPC009_HT29_6H:BRD-K00313977-019-01-1:10","HT29","BRD-K00313977_10 uM_6 h"
"423","CPC019_A375_6H:BRD-K26822808-001-01-4:10","A375","BRD-K26822808_10 uM_6 h"
"424","CPC012_A375_6H:I22","A375","BRD-K72615639_10 uM_6 h"
"425","CPC013_HT29_6H:K12","HT29","CP-466722_10 uM_6 h"
"426","CPC020_A375_6H:BRD-K15262564-001-12-7:10","A375","mupirocin_10 uM_6 h"
"427","CPC006_A375_6H:F20","A375","BML-259_80 uM_6 h"
"428","CPC009_HT29_6H:BRD-K58982513-001-01-3:10","HT29","BRD-K58982513_10 uM_6 h"
"429","CPC013_A375_6H:BRD-K42644990-003-01-6:10","A375","BRD-K42644990_10 uM_6 h"
"430","CPC017_HT29_6H:BRD-A54927599-001-07-8:10","HT29","KF-38789_10 uM_6 h"
"431","CPC020_A375_6H:BRD-K94173926-001-01-6:10","A375","I-505056_10 uM_6 h"
"432","CPC006_HT29_24H:BRD-A62182663-001-01-4:10","HT29","YK-4279_10 uM_24 h"
"433","CPC009_A375_6H:BRD-K19724398-019-01-9:10","A375","BRD-K19724398_10 uM_6 h"
"434","CPC020_HT29_6H:BRD-A62326914-001-02-2:10","HT29","paroxetine_10 uM_6 h"
"435","CPC020_A375_6H:BRD-A83124583-003-01-4:10","A375","EMF-sumo1-39_10 uM_6 h"
"436","CPC013_A375_6H:BRD-K80346834-001-01-5:10","A375","BRD-K80346834_10 uM_6 h"
"437","CPC011_HT29_6H:BRD-K59753975-065-02-1:10","HT29","vindesine_10 uM_6 h"
"438","CPC006_A375_24H:BRD-K33272502-001-01-2:40","A375","DG-041_40 uM_24 h"
"439","CPC008_HT29_6H:BRD-K30351863-019-01-2:10","HT29","BRD-K30351863_10 uM_6 h"
"440","CPC018_A375_6H:BRD-K65503129-001-04-8:10","A375","CCT-018159_10 uM_6 h"
"441","CPC014_HT29_6H:BRD-K36529613-001-01-8:10","HT29","PU-H71_10 uM_6 h"
"442","CPC017_HT29_6H:BRD-K62289640-003-01-9:10","HT29","lylamine_10 uM_6 h"
"443","CPC008_A375_6H:J18","A375","BRD-K40329609_10 uM_6 h"
"444","CPC009_HT29_6H:BRD-K77239206-001-05-8:10","HT29","BRD-K77239206_10 uM_6 h"
"445","CPC005_A375_24H:BRD-A45333398-001-01-7:10","A375","periplocymarin_10 uM_24 h"
"446","CPC007_HT29_24H:BRD-K32821942-001-12-2:10","HT29","azathioprine_10 uM_24 h"
"447","CPC006_A375_24H:BRD-K15108141-001-01-7:0.08","A375","gemcitabine_0.08 uM_24 h"
"448","CPC020_HT29_6H:BRD-K47869605-001-27-0:10","HT29","BRD-K47869605_10 uM_6 h"
"449","CPC020_HT29_6H:BRD-K85592362-001-01-9:10","HT29","BRD-K85592362_10 uM_6 h"
"450","CPC010_HT29_6H:BRD-K05331696-001-02-4:10","HT29","BRD-K05331696_10 uM_6 h"
"451","CPC008_HT29_6H:BRD-K40329609-019-01-5:10","HT29","BRD-K40329609_10 uM_6 h"
"452","CPC008_HT29_6H:BRD-K33720394-001-01-1:10","HT29","BRD-K33720394_10 uM_6 h"
"453","CPC019_HT29_6H:BRD-K60067222-001-01-1:10","HT29","BRD-K60067222_10 uM_6 h"
"454","CPC006_A375_24H:BRD-K30677119-001-01-0:11.1","A375","PP-30_12 uM_24 h"
"455","CPC010_A375_6H:M14","A375","BRD-A18725729_10 uM_6 h"
"456","CPC007_HT29_24H:BRD-K22215695-001-08-6:10","HT29","BRD-K22215695_10 uM_24 h"
"457","CPC019_A375_6H:BRD-K00007652-001-01-9:10","A375","BRD-K00007652_10 uM_6 h"
"458","CPC019_A375_6H:BRD-K30849099-001-07-6:10","A375","MW-STK33-2A_10 uM_6 h"
"459","CPC020_HT29_6H:BRD-K50234570-001-09-0:10","HT29","EMF-bca1-16_10 uM_6 h"
"460","CPC015_A375_6H:BRD-K00603606-003-13-3:10","A375","ticlopidine_10 uM_6 h"
"461","CPC007_HT29_24H:BRD-A47816767-001-11-1:10","HT29","BRD-A47816767_10 uM_24 h"
"462","CPC006_HT29_24H:BRD-K03618428-001-01-3:22.2","HT29","PP-110_20 uM_24 h"
"463","CPC014_HT29_6H:BRD-U33728988-000-01-6:10","HT29","QL-X-138_10 uM_6 h"
"464","CPC016_HT29_6H:BRD-K47598052-001-06-7:10","HT29","PP-1_10 uM_6 h"
"465","CPC018_A375_6H:BRD-K98548675-001-02-6:10","A375","parthenolide_10 uM_6 h"
"466","CPC007_A375_24H:BRD-K22546959-001-05-1:10","A375","BRD-K22546959_10 uM_24 h"
"467","CPC007_A375_24H:BRD-K06956503-001-02-0:10","A375","BRD-K06956503_10 uM_24 h"
"468","CPC008_HT29_6H:BRD-K10361096-001-04-6:10","HT29","BRD-K10361096_10 uM_6 h"
"469","CPC016_HT29_6H:BRD-A22783572-065-01-3:10","HT29","vinblastine_10 uM_6 h"
"470","CPC019_HT29_6H:BRD-K65983740-001-01-7:10","HT29","BRD-K65983740_10 uM_6 h"
"471","CPC015_HT29_6H:BRD-A48237631-001-03-0:10","HT29","mitomycin-c_10 uM_6 h"
"472","CPC006_A375_24H:BRD-A36630025-001-02-6:0.35","A375","SN-38_0.37 uM_24 h"
"473","CPC019_A375_6H:BRD-K10649245-001-01-0:10","A375","BRD-K10649245_10 uM_6 h"
"474","CPC019_A375_6H:BRD-K77480336-001-02-8:10","A375","BRD-K77480336_10 uM_6 h"
"475","CPC008_HT29_6H:BRD-K67619794-001-01-0:10","HT29","BRD-K67619794_10 uM_6 h"
"476","CPC013_HT29_6H:N11","HT29","pyroxamide_10 uM_6 h"
"477","CPC019_HT29_6H:BRD-K50204028-001-01-8:10","HT29","BRD-K50204028_10 uM_6 h"
"478","CPC004_A375_6H:BRD-A64125466-236-03-8:10","A375","dehydrocholate_10 uM_6 h"
"479","CPC013_A375_6H:BRD-K79090631-001-15-7:10","A375","CGP-60474_10 uM_6 h"
"480","CPC006_HT29_6H:F20","HT29","BML-259_80 uM_6 h"
"481","CPC019_A375_6H:BRD-K51556300-001-01-9:10","A375","BRD-K51556300_10 uM_6 h"
"482","CPC006_HT29_24H:BRD-K83289131-001-01-4:10","HT29","CAY-10618_10 uM_24 h"
"483","CPC012_A375_6H:I20","A375","BRD-K82837433_10 uM_6 h"
"484","CPC006_A375_6H:J24","A375","pyrvinium-pamoate_10 uM_6 h"
"485","CPC018_A375_6H:BRD-A71459254-001-02-8:10","A375","cymarin_10 uM_6 h"
"486","CPC006_A375_24H:BRD-K69328504-001-01-7:10","A375","L-690488_10 uM_24 h"
"487","CPC008_A375_6H:L02","A375","BRD-K38061943_10 uM_6 h"
"488","CPC009_HT29_6H:BRD-K19724398-019-01-9:10","HT29","BRD-K19724398_10 uM_6 h"
"489","CPC005_A375_24H:BRD-A64933752-001-01-0:10","A375","CV-1808_10 uM_24 h"
"490","CPC019_A375_6H:BRD-K96076993-001-01-7:10","A375","SA-25547_10 uM_6 h"
"491","CPC004_HT29_6H:BRD-K89595132-050-03-0:10","HT29","BRD-K89595132_10 uM_6 h"
"492","CPC005_HT29_6H:BRD-K50836978-001-01-7:10","HT29","purvalanol-a_10 uM_6 h"
"493","CPC013_A375_6H:BRD-K74623475-001-02-7:10","A375","BRD-K74623475_10 uM_6 h"
"494","CPC005_A375_24H:BRD-K41707108-001-03-1:10","A375","ceramide_10 uM_24 h"
"495","CPC004_HT29_6H:BRD-K24132293-001-13-7:10","HT29","piperlongumine_10 uM_6 h"
"496","CPC008_HT29_6H:BRD-K05549170-001-01-8:10","HT29","BRD-K05549170_10 uM_6 h"
"497","CPC020_A375_6H:BRD-K08339178-001-01-3:10","A375","BRD-K08339178_10 uM_6 h"
"498","CPC020_A375_6H:BRD-A50774520-001-01-5:10","A375","CVF-SUMO-11_10 uM_6 h"
"499","CPC015_A375_6H:BRD-A39969961-001-01-3:10","A375","eplerenone_10 uM_6 h"
"500","CPC009_A375_6H:BRD-K22449070-019-01-3:10","A375","BRD-K22449070_10 uM_6 h"
"501","CPC012_A375_6H:E17","A375","BRD-K61776140_10 uM_6 h"
"502","CPC017_HT29_6H:BRD-K08252256-236-17-1:10","HT29","diclofenac_10 uM_6 h"
"503","CPC012_HT29_6H:BRD-K81925089-001-01-7:10","HT29","RAN-30_10 uM_6 h"
"504","CPC005_A375_6H:BRD-A78360835-001-01-1:10","A375","cercosporin_10 uM_6 h"
"505","CPC008_A375_6H:N21","A375","VU-0418934-2_10 uM_6 h"
"506","CPC010_HT29_6H:BRD-K53423944-001-06-1:10","HT29","BRD-K53423944_10 uM_6 h"
"507","CPC013_HT29_6H:C05","HT29","obatoclax_10 uM_6 h"
"508","CPC012_HT29_6H:BRD-K62459624-001-08-7:10","HT29","BRD-K62459624_10 uM_6 h"
"509","CPC006_A375_24H:BRD-K16406336-311-01-2:10","A375","methylene-blue_10 uM_24 h"
"510","CPC013_A375_6H:BRD-K66254772-001-01-3:10","A375","RS-I-002-6_10 uM_6 h"
"511","CPC007_A375_24H:BRD-K34452916-001-06-8:10","A375","FU-JMBII127B_10 uM_24 h"
"512","CPC020_HT29_6H:BRD-A99833829-003-21-4:10","HT29","bethanechol_10 uM_6 h"
"513","CPC010_HT29_6H:BRD-K85853281-001-03-9:10","HT29","BRD-K85853281_10 uM_6 h"
"514","CPC006_HT29_6H:M13","HT29","BRD-K28296557_10 uM_6 h"
"515","CPC012_A375_6H:P04","A375","SPB02303_10 uM_6 h"
"516","CPC005_A375_24H:BRD-A65767837-001-03-6:10","A375","hydrocortisone-acetate_10 uM_24 h"
"517","CPC005_A375_24H:BRD-K20152659-001-02-0:10","A375","BRD-K20152659_10 uM_24 h"
"518","CPC008_HT29_6H:BRD-K96740880-001-05-5:10","HT29","BRD-K96740880_10 uM_6 h"
"519","CPC013_HT29_6H:C17","HT29","JNJ-7706621_10 uM_6 h"
"520","CPC019_HT29_6H:BRD-A81282034-001-02-9:10","HT29","BRD-A81282034_10 uM_6 h"
"521","CPC006_A375_24H:BRD-K56700933-001-01-3:10","A375","phenethyl-isothiocyanate_10 uM_24 h"
"522","CPC014_HT29_6H:BRD-U29336476-000-01-3:10","HT29","BRD-U29336476_10 uM_6 h"
"523","CPC011_A375_6H:BRD-K39484304-001-08-2:10","A375","triptolide_10 uM_6 h"
"524","CPC013_A375_6H:BRD-K15600710-066-01-7:10","A375","obatoclax_10 uM_6 h"
"525","CPC019_A375_6H:BRD-K45253154-001-04-3:10","A375","SD-6-035-A7_10 uM_6 h"
"526","CPC018_HT29_6H:BRD-K46419649-001-01-8:10","HT29","U-0126_10 uM_6 h"
"527","CPC012_HT29_6H:BRD-K99532291-001-03-1:10","HT29","SPB02303_10 uM_6 h"
"528","CPC006_A375_24H:BRD-K39503511-001-02-1:80","A375","quiflapon_80 uM_24 h"
"529","CPC010_HT29_6H:BRD-A17448384-001-07-0:10","HT29","beclometasone_10 uM_6 h"
"530","CPC013_A375_6H:BRD-K35638681-001-01-5:10","A375","BRD-K35638681_10 uM_6 h"
"531","CPC015_HT29_6H:BRD-A29426959-050-07-4:10","HT29","carbinoxamine_10 uM_6 h"
"532","CPC007_HT29_24H:BRD-K29140223-001-04-9:10","HT29","BRD-K29140223_10 uM_24 h"
"533","CPC019_HT29_6H:BRD-A00420644-001-01-7:10","HT29","SA-3676_10 uM_6 h"
"534","CPC016_HT29_6H:BRD-K37848908-001-03-1:10","HT29","ceforanide_10 uM_6 h"
"535","CPC018_HT29_6H:BRD-K84595254-001-03-0:10","HT29","strophanthidin_10 uM_6 h"
"536","CPC018_A375_6H:BRD-K17110974-001-04-7:10","A375","aristolochic-acid_10 uM_6 h"
"537","CPC004_A375_6H:BRD-K50311478-001-01-6:10","A375","BRD-K50311478_10 uM_6 h"
"538","CPC015_A375_6H:BRD-K31912990-003-01-0:10","A375","CGP-71683_10 uM_6 h"
"539","CPC004_A375_6H:BRD-K55191674-237-12-6:10","A375","benzylpenicillin_10 uM_6 h"
"540","CPC006_HT29_24H:BRD-K90999434-003-01-9:10","HT29","CCT-031374_10 uM_24 h"
"541","CPC020_HT29_6H:BRD-K53308430-001-02-4:10","HT29","SA-1017940_10 uM_6 h"
"542","CPC016_A375_6H:BRD-K63516691-003-01-2:10","A375","T-0156_10 uM_6 h"
"543","CPC008_HT29_6H:BRD-K23165181-019-01-0:10","HT29","BRD-K23165181_10 uM_6 h"
"544","CPC005_HT29_24H:BRD-A62057054-001-01-5:10","HT29","MDL-11939_10 uM_24 h"
"545","CPC012_A375_6H:K08","A375","BRD-K62459624_10 uM_6 h"
"546","CPC018_HT29_6H:BRD-K08619838-300-03-2:10","HT29","tremorine_10 uM_6 h"
"547","CPC019_HT29_6H:BRD-K37043259-001-01-8:10","HT29","BRD-K37043259_10 uM_6 h"
"548","CPC019_HT29_6H:BRD-K69159985-001-01-4:10","HT29","BRD-K69159985_10 uM_6 h"
"549","CPC012_HT29_6H:BRD-K71935468-001-01-9:10","HT29","BRD-K71935468_10 uM_6 h"
"550","CPC008_A375_6H:J10","A375","BRD-K30351863_10 uM_6 h"
"551","CPC008_A375_6H:M24","A375","ML-179_10 uM_6 h"
"552","CPC010_A375_6H:F05","A375","BRD-A18411371_10 uM_6 h"
"553","CPC005_HT29_24H:BRD-K55127134-300-07-0:10","HT29","fluphenazine_10 uM_24 h"
